Name,Department,CurrentSemester,Sem1_Total,Sem2_Total,Sem3_Total,Sem4_Total,Sem5_Total,Sem6_Total,Sem1_Attendance,Sem2_Attendance,Sem3_Attendance,Sem4_Attendance,Sem5_Attendance,Sem6_Attendance,22AI037,22AI501,22AI502,22AI503,22AI504,Attendance
Ayaan Jain,Computer Science & Engineering,6,397,412,394,377,390,392,69,66,70,72,70,75,86,71,92,44,88,65
Rohan Narayanan,Computer Science & Engineering,6,373,345,358,365,400,416,90,90,88,87,91,98,89,48,48,82,70,94
Siddharth Venkatesh,Computer Science & Engineering,6,419,447,428,444,476,449,95,89,93,91,97,98,50,56,73,95,78,95
Diya Kumar,Electrical & Electronics Engineering,6,335,317,352,380,368,401,91,87,81,75,80,82,53,74,88,86,84,87
Ananya Nair,Electrical & Electronics Engineering,6,416,411,445,463,477,500,74,77,81,78,73,70,85,59,65,82,81,72
Aadhya Singh,Electrical & Electronics Engineering,6,404,381,409,424,445,477,86,84,84,88,84,91,68,73,68,47,55,83
Ira Yadav,Electrical & Electronics Engineering,6,401,422,404,428,464,444,71,71,74,81,77,79,44,61,41,77,75,74
Meera Menon,Electrical & Electronics Engineering,6,417,402,430,411,395,404,71,77,81,87,84,78,77,54,40,44,85,74
Saanvi Verma,Electrical & Electronics Engineering,6,301,324,324,352,335,328,60,66,64,60,65,66,54,44,42,95,61,63
Kavya Kulkarni,Electrical & Electronics Engineering,6,350,334,317,300,329,347,60,60,61,63,68,68,72,55,57,82,71,64
Priya Jain,Electrical & Electronics Engineering,6,380,373,370,396,384,400,71,73,68,69,63,60,74,48,86,76,76,73
Nithya Narayanan,Electrical & Electronics Engineering,6,351,384,408,431,434,436,84,85,90,91,97,93,55,90,70,91,66,90
Anika Venkatesh,Electrical & Electronics Engineering,6,357,384,384,366,362,350,69,75,76,72,72,71,46,46,82,67,62,72
Harsh Kumar,Electronics & Communication Engineering,6,398,419,434,406,425,451,83,81,85,84,84,80,66,69,95,86,43,87
Naveen Nair,Electronics & Communication Engineering,6,349,356,388,413,395,418,64,65,61,60,60,60,43,65,86,61,91,66
Karthik Singh,Electronics & Communication Engineering,6,356,376,411,432,433,407,69,76,75,75,80,82,55,52,52,74,68,66
Varun Yadav,Electronics & Communication Engineering,6,372,392,425,434,419,405,66,66,63,60,65,62,67,51,57,69,55,68
Rahul Menon,Electronics & Communication Engineering,6,328,317,307,300,300,321,60,61,65,70,74,76,68,91,95,94,75,64
Surya Verma,Electronics & Communication Engineering,6,417,443,446,451,486,500,71,76,79,81,75,75,43,81,74,93,40,66
Pranav Kulkarni,Electronics & Communication Engineering,6,368,350,326,346,338,329,68,67,72,78,73,68,88,94,55,50,66,65
Ritvik Jain,Electronics & Communication Engineering,6,378,396,398,372,370,396,94,96,93,98,98,98,70,53,95,65,43,91
Abhinav Narayanan,Electronics & Communication Engineering,6,327,357,353,357,366,366,65,69,66,71,69,65,64,40,64,56,90,70
Dev Venkatesh,Electronics & Communication Engineering,6,358,367,396,410,422,418,85,83,78,79,73,71,58,67,84,86,90,89
Aarav Kumar,Electronics & Instrumentation Engineering,6,372,390,401,430,439,436,96,98,97,98,98,93,82,85,71,49,52,95
Vivaan Nair,Electronics & Instrumentation Engineering,6,355,388,385,383,359,388,83,90,94,92,97,94,53,43,77,87,74,78
Aditya Singh,Electronics & Instrumentation Engineering,6,374,375,411,415,432,434,70,66,65,62,62,60,87,60,43,43,77,63
Arjun Yadav,Electronics & Instrumentation Engineering,6,376,408,396,413,426,401,93,89,90,92,93,91,72,94,73,50,43,90
Krish Menon,Electronics & Instrumentation Engineering,6,359,387,369,394,393,385,91,92,98,94,95,89,45,94,51,44,78,92
Ishaan Verma,Electronics & Instrumentation Engineering,6,405,431,445,461,446,427,61,66,64,66,65,60,83,95,55,65,47,64
Reyansh Kulkarni,Electronics & Instrumentation Engineering,6,387,404,400,429,407,407,92,90,85,86,91,86,55,77,78,42,79,96
Ayaan Jain,Electronics & Instrumentation Engineering,6,416,420,450,484,500,473,71,73,71,78,74,80,66,82,77,76,73,65
Rohan Narayanan,Electronics & Instrumentation Engineering,6,392,419,443,415,396,420,76,83,87,85,88,91,56,53,82,85,60,80
Siddharth Venkatesh,Electronics & Instrumentation Engineering,6,355,343,337,359,385,405,78,85,90,93,97,95,56,65,48,82,81,75
Diya Kumar,Information Science & Engineering,6,331,328,358,373,397,424,84,89,90,89,84,90,69,60,88,44,40,79
Ananya Nair,Information Science & Engineering,6,362,387,421,399,424,446,88,91,89,87,86,91,79,76,46,44,74,89
Aadhya Singh,Information Science & Engineering,6,401,383,402,409,396,401,69,66,60,60,65,65,72,56,48,62,44,73
Ira Yadav,Information Science & Engineering,6,372,357,348,329,349,349,81,79,75,80,87,89,63,58,50,68,93,75
Meera Menon,Information Science & Engineering,6,323,320,350,358,345,375,95,98,98,98,98,92,85,59,79,91,81,94
Saanvi Verma,Information Science & Engineering,6,437,433,458,462,465,476,98,93,98,98,98,98,40,82,92,75,59,93
Kavya Kulkarni,Information Science & Engineering,6,374,400,403,393,415,439,64,65,68,69,71,74,48,56,47,46,87,66
Priya Jain,Information Science & Engineering,6,434,442,451,427,458,467,92,98,95,98,98,96,49,57,58,78,53,95
Nithya Narayanan,Information Science & Engineering,6,363,351,336,372,366,389,80,83,87,86,91,91,53,83,80,94,56,81
Anika Venkatesh,Information Science & Engineering,6,415,434,456,478,499,500,90,91,95,92,87,83,71,56,94,43,45,92
Harsh Kumar,Mechanical Engineering,6,354,374,391,395,399,395,86,86,82,76,83,82,93,57,42,40,61,87
Naveen Nair,Mechanical Engineering,6,422,395,385,370,366,349,75,69,76,71,67,70,80,56,50,87,68,68
Karthik Singh,Mechanical Engineering,6,450,442,427,410,406,380,94,97,98,96,98,94,85,67,75,40,47,95
Varun Yadav,Mechanical Engineering,6,361,335,334,307,335,309,60,62,62,60,65,66,84,49,74,42,93,64
Rahul Menon,Mechanical Engineering,6,386,412,445,442,420,451,80,75,79,82,80,82,77,75,49,67,48,83
Surya Verma,Mechanical Engineering,6,354,368,387,387,381,414,62,60,61,60,60,60,59,63,90,95,42,62
Pranav Kulkarni,Mechanical Engineering,6,305,300,323,357,382,417,88,95,91,91,96,98,53,83,55,82,46,82
Ritvik Jain,Mechanical Engineering,6,363,391,386,375,353,340,84,86,81,85,81,79,89,75,95,66,79,82
Abhinav Narayanan,Mechanical Engineering,6,392,399,425,457,484,500,67,66,61,60,61,60,55,95,50,91,91,69
Dev Venkatesh,Mechanical Engineering,6,310,345,319,317,308,326,70,70,68,63,60,63,66,41,51,87,61,71
Aarav Kumar,Mechatronics Engineering,6,390,418,432,411,388,378,82,81,84,83,87,90,91,82,95,87,91,86
Vivaan Nair,Mechatronics Engineering,6,436,429,412,384,406,429,80,78,76,70,66,69,57,50,90,84,46,75
Aditya Singh,Mechatronics Engineering,6,406,425,416,424,455,446,85,79,76,73,80,82,95,42,94,70,54,84
Arjun Yadav,Mechatronics Engineering,6,350,339,320,355,364,381,66,73,78,85,82,83,92,69,62,59,92,72
Krish Menon,Mechatronics Engineering,6,358,389,419,440,425,461,69,69,65,69,66,70,54,41,82,52,65,74
Ishaan Verma,Mechatronics Engineering,6,415,446,448,467,462,479,81,80,78,84,87,86,57,95,44,89,57,81
Reyansh Kulkarni,Mechatronics Engineering,6,405,429,406,381,387,387,76,79,73,73,70,70,81,72,65,83,93,82
Ayaan Jain,Mechatronics Engineering,6,403,400,391,427,457,452,98,98,96,90,91,89,61,41,47,56,51,94
Rohan Narayanan,Mechatronics Engineering,6,361,376,378,378,394,398,98,97,98,94,98,98,56,42,46,78,67,97
Siddharth Venkatesh,Mechatronics Engineering,6,398,392,393,367,350,380,76,79,85,80,85,88,86,90,60,67,78,82
Diya Kumar,Agricultural Engineering,6,381,384,398,418,429,436,91,92,89,86,83,85,47,64,76,52,56,92
Ananya Nair,Agricultural Engineering,6,374,371,395,393,370,356,67,61,60,60,61,65,85,67,40,73,91,62
Aadhya Singh,Agricultural Engineering,6,393,392,375,379,413,413,97,98,98,98,98,98,83,86,87,87,82,94
Ira Yadav,Agricultural Engineering,6,318,300,326,358,355,374,66,64,60,60,62,60,63,67,44,82,61,72
Meera Menon,Agricultural Engineering,6,377,386,367,402,413,431,77,79,80,81,85,79,82,94,47,86,59,80
Saanvi Verma,Agricultural Engineering,6,330,345,368,378,379,414,88,91,88,92,97,92,59,82,66,60,65,92
Kavya Kulkarni,Agricultural Engineering,6,366,392,413,448,420,429,76,75,69,74,80,76,75,48,52,66,82,78
Priya Jain,Agricultural Engineering,6,351,383,416,391,424,438,85,84,79,83,77,82,83,87,51,79,76,84
Nithya Narayanan,Agricultural Engineering,6,379,356,343,331,319,355,80,83,87,92,93,92,65,75,93,40,59,79
Anika Venkatesh,Agricultural Engineering,6,390,396,395,406,413,441,79,82,78,74,80,79,53,67,90,77,78,78
Harsh Kumar,Artificial Intelligence and Data Science,6,364,375,393,390,399,379,87,84,84,80,76,78,69,68,68,83,53,80
Naveen Nair,Artificial Intelligence and Data Science,6,361,358,335,341,365,341,87,83,85,89,85,87,70,90,90,87,50,92
Karthik Singh,Artificial Intelligence and Data Science,6,331,315,349,335,327,322,63,66,60,66,68,72,58,72,82,80,79,65
Varun Yadav,Artificial Intelligence and Data Science,6,382,405,395,367,357,331,88,90,96,98,98,93,45,92,88,55,83,81
Rahul Menon,Artificial Intelligence and Data Science,6,366,374,356,352,359,389,77,79,74,70,71,65,54,91,52,49,41,79
Surya Verma,Artificial Intelligence and Data Science,6,426,427,417,411,440,426,60,64,66,61,60,60,55,70,79,94,89,62
Pranav Kulkarni,Artificial Intelligence and Data Science,6,384,406,391,409,395,425,66,70,65,67,70,74,69,66,80,76,52,64
Ritvik Jain,Artificial Intelligence and Data Science,6,358,384,400,408,407,443,90,94,92,94,90,90,71,65,55,49,81,84
Abhinav Narayanan,Artificial Intelligence and Data Science,6,344,362,367,368,365,338,65,60,63,64,67,64,88,95,89,46,89,60
Dev Venkatesh,Artificial Intelligence and Data Science,6,378,405,381,406,427,458,93,98,92,92,90,85,54,51,91,84,73,87
Aarav Kumar,Artificial Intelligence and Machine Learning,6,361,362,393,388,374,348,89,96,98,94,97,97,43,75,55,94,47,89
Vivaan Nair,Artificial Intelligence and Machine Learning,6,354,364,367,352,339,340,85,81,83,80,78,81,48,91,69,82,73,89
Aditya Singh,Artificial Intelligence and Machine Learning,6,329,351,329,352,385,416,90,93,88,88,90,96,78,60,88,68,79,95
Arjun Yadav,Artificial Intelligence and Machine Learning,6,393,427,429,442,423,398,98,92,95,89,94,89,67,93,75,68,50,92
Krish Menon,Artificial Intelligence and Machine Learning,6,361,381,375,381,355,351,94,91,94,98,98,95,68,56,88,55,93,90
Ishaan Verma,Artificial Intelligence and Machine Learning,6,343,315,300,303,300,300,71,72,71,74,68,73,89,89,73,71,80,77
Reyansh Kulkarni,Artificial Intelligence and Machine Learning,6,406,388,410,437,421,401,82,77,79,81,78,77,57,68,44,85,58,75
Ayaan Jain,Artificial Intelligence and Machine Learning,6,360,353,360,367,379,388,82,82,85,86,83,88,57,61,60,74,45,75
Rohan Narayanan,Artificial Intelligence and Machine Learning,6,396,429,452,446,422,425,70,73,68,71,73,79,49,54,64,84,49,68
Siddharth Venkatesh,Artificial Intelligence and Machine Learning,6,353,350,348,329,322,337,77,76,74,73,75,75,44,66,66,61,74,73
Diya Kumar,Biotechnology,6,348,331,361,333,314,341,83,90,96,94,92,87,66,43,53,93,66,89
Ananya Nair,Biotechnology,6,370,357,371,360,387,405,83,90,94,95,89,92,89,77,84,41,94,84
Aadhya Singh,Biotechnology,6,375,357,333,347,383,389,97,93,94,92,94,96,64,70,40,62,59,96
Ira Yadav,Biotechnology,6,408,413,428,461,452,437,82,76,81,80,81,78,94,93,66,74,87,84
Meera Menon,Biotechnology,6,379,391,402,403,415,445,88,83,85,92,93,89,91,78,54,71,54,94
Saanvi Verma,Biotechnology,6,369,390,397,391,388,408,74,80,87,89,90,88,67,71,41,64,61,77
Kavya Kulkarni,Biotechnology,6,445,438,450,483,474,483,89,95,96,98,98,98,86,50,93,69,48,85
Priya Jain,Biotechnology,6,385,360,353,365,373,355,98,92,98,98,93,96,41,65,77,76,82,94
Nithya Narayanan,Biotechnology,6,449,459,434,417,433,443,62,60,66,72,67,67,45,81,67,48,95,61
Anika Venkatesh,Biotechnology,6,433,459,469,495,484,500,91,96,92,97,98,98,51,43,56,64,60,89
Harsh Kumar,Computer Science & Business Systems,6,344,378,384,378,388,411,70,71,68,64,70,69,69,60,61,88,64,73
Naveen Nair,Computer Science & Business Systems,6,391,424,403,435,427,400,81,75,78,72,74,74,88,93,66,56,93,77
Karthik Singh,Computer Science & Business Systems,6,386,384,365,370,402,408,64,62,67,73,75,73,70,41,87,74,43,65
Varun Yadav,Computer Science & Business Systems,6,406,433,450,461,467,493,80,82,80,78,79,84,54,81,44,89,81,82
Rahul Menon,Computer Science & Business Systems,6,366,392,422,406,383,369,64,60,60,60,60,65,88,41,55,52,93,62
Surya Verma,Computer Science & Business Systems,6,456,435,438,462,461,433,60,64,60,60,60,64,79,49,55,48,70,61
Pranav Kulkarni,Computer Science & Business Systems,6,424,436,431,445,470,447,70,64,66,64,63,60,76,53,69,84,56,67
Ritvik Jain,Computer Science & Business Systems,6,349,383,408,398,387,388,87,89,85,83,84,80,50,78,78,87,85,83
Abhinav Narayanan,Computer Science & Business Systems,6,399,428,430,443,424,404,72,69,76,76,83,86,89,92,50,59,46,67
Dev Venkatesh,Computer Science & Business Systems,6,398,371,367,350,367,382,98,93,88,91,85,90,41,59,76,83,64,97
Aarav Kumar,Computer Technology,6,400,388,361,386,360,382,90,87,81,84,84,83,85,52,44,77,84,85
Vivaan Nair,Computer Technology,6,421,431,423,414,433,467,73,69,67,68,62,60,46,84,89,59,94,75
Aditya Singh,Computer Technology,6,410,433,443,446,435,440,93,93,87,89,96,98,91,47,90,76,90,98
Arjun Yadav,Computer Technology,6,401,393,417,415,423,430,67,68,70,72,72,68,62,74,67,82,63,62
Krish Menon,Computer Technology,6,320,329,359,392,371,377,70,77,71,72,72,67,72,81,61,40,94,64
Ishaan Verma,Computer Technology,6,339,325,339,351,325,302,92,96,94,95,98,98,92,71,46,67,63,86
Reyansh Kulkarni,Computer Technology,6,343,325,314,327,321,352,93,94,92,92,93,98,85,49,67,51,86,89
Ayaan Jain,Computer Technology,6,328,315,316,309,305,300,88,89,96,94,90,92,81,57,79,91,74,93
Rohan Narayanan,Computer Technology,6,378,383,408,416,393,378,84,91,88,82,82,83,69,67,92,86,77,90
Siddharth Venkatesh,Computer Technology,6,399,391,406,403,433,408,73,70,72,70,75,77,60,94,55,93,45,77
Diya Kumar,Food Technology,6,332,327,333,344,376,401,71,72,76,76,74,73,68,55,88,69,76,77
Ananya Nair,Food Technology,6,354,375,348,380,397,422,80,81,82,80,87,88,61,41,71,94,60,84
Aadhya Singh,Food Technology,6,423,457,485,464,484,479,70,75,69,63,60,63,71,53,62,91,56,71
Ira Yadav,Food Technology,6,332,331,335,328,306,302,79,76,82,81,83,83,57,78,84,57,75,81
Meera Menon,Food Technology,6,376,401,401,424,428,413,63,64,61,68,72,69,73,52,45,55,86,60
Saanvi Verma,Food Technology,6,348,348,337,328,322,332,87,91,86,82,82,77,71,75,88,55,84,86
Kavya Kulkarni,Food Technology,6,445,468,478,466,489,500,96,98,98,97,93,87,81,85,71,68,90,90
Priya Jain,Food Technology,6,337,353,381,414,387,390,68,69,69,71,71,70,45,58,54,65,84,61
Nithya Narayanan,Food Technology,6,377,378,356,344,355,334,72,77,83,77,81,83,59,82,77,63,70,75
Anika Venkatesh,Food Technology,6,368,367,360,362,363,373,89,84,88,92,90,90,73,62,67,87,75,95
Harsh Kumar,Fashion Technology,6,423,439,464,471,444,445,88,83,81,87,84,83,62,84,69,57,59,81
Naveen Nair,Fashion Technology,6,368,392,416,443,443,444,73,73,79,82,78,83,54,47,86,52,60,76
Karthik Singh,Fashion Technology,6,306,300,303,339,319,340,61,60,60,63,60,60,87,74,88,84,51,67
Varun Yadav,Fashion Technology,6,338,349,342,337,367,351,68,72,66,64,70,70,53,87,70,57,86,72
Rahul Menon,Fashion Technology,6,354,360,351,325,300,300,94,98,97,97,98,98,88,73,78,58,46,97
Surya Verma,Fashion Technology,6,355,349,342,364,347,329,75,73,71,76,77,74,58,54,63,51,59,72
Pranav Kulkarni,Fashion Technology,6,372,353,331,310,300,329,66,63,62,65,61,67,85,74,48,57,42,60
Ritvik Jain,Fashion Technology,6,385,418,415,411,396,421,60,60,60,60,60,60,75,58,84,48,80,63
Abhinav Narayanan,Fashion Technology,6,430,432,444,453,444,476,87,88,88,82,80,85,46,95,40,76,58,91
Dev Venkatesh,Fashion Technology,6,370,351,340,368,351,353,93,89,93,88,89,95,70,68,61,51,43,90
Aarav Kumar,Information Technology,6,378,407,387,407,397,411,82,82,81,81,87,89,95,70,47,92,44,76
Vivaan Nair,Information Technology,6,348,338,314,300,300,303,83,82,86,84,89,85,71,44,76,80,83,85
Aditya Singh,Information Technology,6,348,383,404,426,403,404,60,60,60,64,63,65,49,49,91,76,59,63
Arjun Yadav,Information Technology,6,332,332,360,384,372,385,66,65,68,62,65,60,55,47,75,88,66,65
Krish Menon,Information Technology,6,399,393,421,412,440,453,98,94,90,87,94,88,78,90,79,54,89,98
Ishaan Verma,Information Technology,6,307,300,300,300,307,310,91,97,98,94,98,98,64,68,68,59,95,93
Reyansh Kulkarni,Information Technology,6,391,369,399,380,406,411,98,98,94,89,96,98,67,59,76,79,43,97
Ayaan Jain,Information Technology,6,341,331,333,316,318,337,68,64,60,61,64,71,88,53,80,53,56,66
Rohan Narayanan,Information Technology,6,417,413,449,423,428,462,69,66,72,67,67,71,50,55,51,75,44,65
Siddharth Venkatesh,Information Technology,6,417,403,388,402,387,370,72,76,70,72,75,71,40,66,68,84,78,70
Diya Kumar,Textile Technology,6,348,331,336,367,345,354,86,84,87,91,85,91,58,42,54,58,85,90
Ananya Nair,Textile Technology,6,350,335,352,355,356,342,85,79,82,83,80,79,84,95,69,44,83,78
Aadhya Singh,Textile Technology,6,355,373,387,374,379,362,80,82,77,72,69,73,56,90,90,80,77,74
Ira Yadav,Textile Technology,6,375,357,383,365,389,373,74,71,73,75,80,75,67,47,74,54,81,72
Meera Menon,Textile Technology,6,346,328,301,337,359,335,68,72,71,68,75,77,57,92,49,44,43,69
Saanvi Verma,Textile Technology,6,357,343,323,300,322,310,69,67,62,67,64,60,90,59,78,87,92,70
Kavya Kulkarni,Textile Technology,6,332,328,305,313,300,300,96,97,98,98,94,98,58,68,47,69,84,96
Priya Jain,Textile Technology,6,395,382,406,413,396,411,78,81,77,83,77,77,84,65,57,72,74,79
Nithya Narayanan,Textile Technology,6,421,453,431,464,490,474,88,89,94,89,90,91,68,45,78,42,67,91
Anika Venkatesh,Textile Technology,6,424,428,449,431,407,397,82,84,78,77,80,84,78,56,41,45,54,80
